AGEP,SEX,PINCP,PUMA,state
4,1,-19999,03228,42
53,2,100000,03222,42
52,1,38000,03222,42
40,2,135000,03216,42
32,2,25000,03229,42
40,2,0,03229,42
51,1,19000,03222,42
63,1,105000,03230,42
44,1,120000,03222,42
62,2,20300,03222,42
72,1,44600,03216,42
68,2,55000,03216,42
63,2,39700,03216,42
15,2,0,03216,42
61,1,330000,03216,42
69,2,38500,03222,42
70,1,60300,03222,42
64,1,0,03231,42
23,1,5000,03224,42
71,1,24900,03222,42
55,1,95000,03216,42
38,2,28000,03231,42
68,1,43300,03231,42
62,2,8400,03231,42
53,1,60000,03223,42
50,2,50000,03223,42
23,1,84000,03230,42
24,2,3000,03230,42
28,1,45000,03230,42
89,2,16500,03224,42
68,1,12400,03224,42
47,2,2300,03228,42
10,2,-19999,03228,42
47,2,630000,03229,42
49,1,545000,03229,42
10,2,-19999,03229,42
61,2,0,03225,42
54,2,57000,03228,42
63,1,55000,03228,42
89,2,40900,03228,42
33,1,66000,03216,42
29,2,27200,03216,42
9,1,-19999,03216,42
62,1,0,03227,42
65,2,6300,03227,42
83,2,47200,03216,42
43,2,35000,03225,42
56,1,0,03225,42
17,2,0,03225,42
16,1,0,03225,42
22,1,0,03225,42
62,2,10100,03216,42
27,2,1700,03227,42
27,1,63000,03227,42
43,2,90000,03216,42
45,1,55000,03216,42
26,2,62000,03229,42
27,1,100000,03229,42
50,2,16000,03224,42
55,1,18000,03224,42
15,1,0,03224,42
63,2,64500,03227,42
26,2,0,03227,42
63,2,30000,03221,42
73,1,1300,03221,42
24,2,33000,03221,42
58,2,31800,03222,42
32,1,85000,03216,42
38,2,120000,03216,42
38,1,100000,03216,42
4,1,-19999,03216,42
2,2,-19999,03216,42
28,2,69000,03230,42
31,1,100000,03230,42
31,2,5000,03230,42
0,2,-19999,03230,42
79,1,41000,03224,42
78,2,0,03224,42
51,1,65000,03224,42
29,1,19400,03228,42
71,2,19600,03224,42
42,1,80010,03221,42
27,2,12000,03221,42
40,1,1100,03223,42
38,2,30000,03223,42
14,1,-19999,03223,42
2,2,-19999,03223,42
89,1,59000,03222,42
85,2,12000,03222,42
37,1,177300,03231,42
34,2,391000,03231,42
64,1,127000,03216,42
63,2,0,03216,42
25,2,326000,03230,42
37,2,52000,03230,42
39,1,56000,03230,42
41,2,100000,03221,42
38,1,31000,03223,42
34,2,4600,03223,42
2,2,-19999,03223,42
66,1,40000,03216,42
64,2,33440,03216,42
58,2,220000,03230,42
38,1,40000,03222,42
27,1,45000,03222,42
27,2,45000,03222,42
35,2,152000,03231,42
39,1,120000,03231,42
3,2,-19999,03231,42
2,1,-19999,03231,42
26,1,70000,03216,42
29,1,21400,03216,42
59,1,300000,03216,42
59,2,15000,03216,42
49,2,42000,03228,42
44,1,30000,03228,42
65,1,8400,03225,42
66,1,7000,03222,42
63,2,0,03222,42
32,2,35700,03222,42
14,2,-19999,03222,42
12,1,-19999,03222,42
7,1,-19999,03222,42
4,1,-19999,03222,42
68,1,32000,03228,42
29,2,20000,03216,42
35,1,40010,03216,42
51,2,30000,03227,42
14,2,-19999,03227,42
12,2,-19999,03227,42
47,1,31200,03227,42
87,2,25200,03223,42
63,1,40000,03222,42
